Tanggal,Harga,Komoditas,Tahun_Sumber,Idul_Adha_Date,Days_to_Idul_Adha,Is_Pre_Idul_Adha,Is_Idul_Adha_Week,Day_of_Week,Is_Weekend,T2M_MIN,T2M_MAX,T2M,RH2M,PRECTOTCORR,ALLSKY_SFC_SW_DWN,WS10M_MAX,WS10M,WD10M,Bulan,Minggu_ke,Hari_dalam_minggu,Bulan_sin,Bulan_cos,Harga_lag_1,Harga_lag_3,Harga_lag_7,MA_3,MA_7
2017-08-02,25400.0,Bawang Merah Ukuran Sedang,Idul Adha 2017,2017-09-01,-30,1,0,2,0,15.76,24.85,19.82,87.78,0.22,21.08,5.78,3.85,129.8,8,31,2,-0.8660254037844384,-0.5000000000000004,,,,25400.0,25400.0
2017-08-03,25400.0,Bawang Merah Ukuran Sedang,Idul Adha 2017,2017-09-01,-29,1,0,3,0,16.48,24.78,19.92,87.56,0.26,20.93,5.76,3.8,138.2,8,31,3,-0.8660254037844384,-0.5000000000000004,25400.0,,,25400.0,25400.0
2017-08-04,24100.0,Bawang Merah Ukuran Sedang,Idul Adha 2017,2017-09-01,-28,1,0,4,0,15.99,25.0,19.93,87.11,0.07,19.92,4.92,2.62,129.7,8,31,4,-0.8660254037844384,-0.5000000000000004,25400.0,,,24966.666666666668,24966.666666666668
2017-08-05,24100.0,Bawang Merah Ukuran Sedang,Idul Adha 2017,2017-09-01,-27,1,0,5,1,15.81,25.36,20.18,86.98,0.05,20.22,3.54,1.83,130.2,8,31,5,-0.8660254037844384,-0.5000000000000004,24100.0,25400.0,,24533.333333333332,24750.0
2017-08-06,24100.0,Bawang Merah Ukuran Sedang,Idul Adha 2017,2017-09-01,-26,1,0,6,1,15.98,26.03,20.4,85.9,0.02,18.69,3.25,1.91,108.0,8,31,6,-0.8660254037844384,-0.5000000000000004,24100.0,25400.0,,24100.0,24620.0
2017-08-07,24750.0,Bawang Merah Ukuran Sedang,Idul Adha 2017,2017-09-01,-25,1,0,0,0,16.04,25.86,20.46,86.16,0.02,19.21,3.66,1.98,87.8,8,32,0,-0.8660254037844384,-0.5000000000000004,24100.0,24100.0,,24316.666666666668,24641.666666666668
2017-08-08,24000.0,Bawang Merah Ukuran Sedang,Idul Adha 2017,2017-09-01,-24,1,0,1,0,16.23,26.64,21.1,86.1,1.0,19.65,3.75,1.71,128.3,8,32,1,-0.8660254037844384,-0.5000000000000004,24750.0,24100.0,,24283.333333333332,24550.0
2017-08-09,23650.0,Bawang Merah Ukuran Sedang,Idul Adha 2017,2017-09-01,-23,1,0,2,0,16.89,26.27,20.94,85.01,7.17,17.52,3.21,1.58,126.7,8,32,2,-0.8660254037844384,-0.5000000000000004,24000.0,24100.0,25400.0,24133.333333333332,24300.0
2017-08-10,23650.0,Bawang Merah Ukuran Sedang,Idul Adha 2017,2017-09-01,-22,1,0,3,0,16.7,26.08,20.82,86.55,4.35,18.17,3.24,1.89,108.6,8,32,3,-0.8660254037844384,-0.5000000000000004,23650.0,24750.0,25400.0,23766.666666666668,24050.0
2017-08-11,23250.0,Bawang Merah Ukuran Sedang,Idul Adha 2017,2017-09-01,-21,1,0,4,0,16.68,26.85,21.19,86.3,3.07,18.99,2.76,1.82,90.6,8,32,4,-0.8660254037844384,-0.5000000000000004,23650.0,24000.0,24100.0,23516.666666666668,23928.571428571428
