No,Komoditas,Tanggal_Raw,Harga,Tahun_Sumber
I,Beras,02/08/2017,10100,Idul Adha 2017
1,Beras Kualitas Bawah I,02/08/2017,9250,Idul Adha 2017
2,Beras Kualitas Bawah II,02/08/2017,8800,Idul Adha 2017
3,Beras Kualitas Medium I,02/08/2017,10250,Idul Adha 2017
4,Beras Kualitas Medium II,02/08/2017,9900,Idul Adha 2017
5,Beras Kualitas Super I,02/08/2017,11800,Idul Adha 2017
6,Beras Kualitas Super II,02/08/2017,10700,Idul Adha 2017
II,Daging Ayam,02/08/2017,32000,Idul Adha 2017
1,Daging Ayam Ras Segar,02/08/2017,32000,Idul Adha 2017
III,Daging Sapi,02/08/2017,120850,Idul Adha 2017
1,Daging Sapi Kualitas 1,02/08/2017,124150,Idul Adha 2017
2,Daging Sapi Kualitas 2,02/08/2017,117500,Idul Adha 2017
IV,Telur Ayam,02/08/2017,22150,Idul Adha 2017
1,Telur Ayam Ras Segar,02/08/2017,22150,Idul Adha 2017
V,Bawang Merah,02/08/2017,25400,Idul Adha 2017
1,Bawang Merah Ukuran Sedang,02/08/2017,25400,Idul Adha 2017
VI,Bawang Putih,02/08/2017,42250,Idul Adha 2017
1,Bawang Putih Ukuran Sedang,02/08/2017,42250,Idul Adha 2017
VII,Cabai Merah,02/08/2017,22100,Idul Adha 2017
1,Cabai Merah Besar,02/08/2017,21850,Idul Adha 2017
2,Cabai Merah Keriting ,02/08/2017,22350,Idul Adha 2017
VIII,Cabai Rawit,02/08/2017,31300,Idul Adha 2017
1,Cabai Rawit Hijau,02/08/2017,18500,Idul Adha 2017
2,Cabai Rawit Merah,02/08/2017,44100,Idul Adha 2017
IX,Minyak Goreng,02/08/2017,13000,Idul Adha 2017
1,Minyak Goreng Curah,02/08/2017,11150,Idul Adha 2017
2,Minyak Goreng Kemasan Bermerk 1,02/08/2017,14250,Idul Adha 2017
3,Minyak Goreng Kemasan Bermerk 2,02/08/2017,13600,Idul Adha 2017
X,Gula Pasir,02/08/2017,14500,Idul Adha 2017
1,Gula Pasir Kualitas Premium,02/08/2017,16100,Idul Adha 2017
2,Gula Pasir Lokal,02/08/2017,12900,Idul Adha 2017
I,Beras,03/08/2017,10150,Idul Adha 2017
1,Beras Kualitas Bawah I,03/08/2017,9400,Idul Adha 2017
2,Beras Kualitas Bawah II,03/08/2017,8800,Idul Adha 2017
3,Beras Kualitas Medium I,03/08/2017,10250,Idul Adha 2017
4,Beras Kualitas Medium II,03/08/2017,9900,Idul Adha 2017
5,Beras Kualitas Super I,03/08/2017,11800,Idul Adha 2017
6,Beras Kualitas Super II,03/08/2017,10700,Idul Adha 2017
II,Daging Ayam,03/08/2017,32000,Idul Adha 2017
1,Daging Ayam Ras Segar,03/08/2017,32000,Idul Adha 2017
III,Daging Sapi,03/08/2017,120850,Idul Adha 2017
1,Daging Sapi Kualitas 1,03/08/2017,124150,Idul Adha 2017
2,Daging Sapi Kualitas 2,03/08/2017,117500,Idul Adha 2017
IV,Telur Ayam,03/08/2017,22000,Idul Adha 2017
1,Telur Ayam Ras Segar,03/08/2017,22000,Idul Adha 2017
V,Bawang Merah,03/08/2017,25400,Idul Adha 2017
1,Bawang Merah Ukuran Sedang,03/08/2017,25400,Idul Adha 2017
VI,Bawang Putih,03/08/2017,40900,Idul Adha 2017
1,Bawang Putih Ukuran Sedang,03/08/2017,40900,Idul Adha 2017
VII,Cabai Merah,03/08/2017,21100,Idul Adha 2017
1,Cabai Merah Besar,03/08/2017,20850,Idul Adha 2017
2,Cabai Merah Keriting ,03/08/2017,21350,Idul Adha 2017
VIII,Cabai Rawit,03/08/2017,31100,Idul Adha 2017
1,Cabai Rawit Hijau,03/08/2017,17850,Idul Adha 2017
2,Cabai Rawit Merah,03/08/2017,44350,Idul Adha 2017
IX,Minyak Goreng,03/08/2017,13000,Idul Adha 2017
1,Minyak Goreng Curah,03/08/2017,11150,Idul Adha 2017
2,Minyak Goreng Kemasan Bermerk 1,03/08/2017,14250,Idul Adha 2017
3,Minyak Goreng Kemasan Bermerk 2,03/08/2017,13600,Idul Adha 2017
X,Gula Pasir,03/08/2017,14500,Idul Adha 2017
1,Gula Pasir Kualitas Premium,03/08/2017,16100,Idul Adha 2017
2,Gula Pasir Lokal,03/08/2017,12900,Idul Adha 2017
I,Beras,04/08/2017,10150,Idul Adha 2017
1,Beras Kualitas Bawah I,04/08/2017,9400,Idul Adha 2017
2,Beras Kualitas Bawah II,04/08/2017,8800,Idul Adha 2017
3,Beras Kualitas Medium I,04/08/2017,10250,Idul Adha 2017
4,Beras Kualitas Medium II,04/08/2017,9900,Idul Adha 2017
5,Beras Kualitas Super I,04/08/2017,11800,Idul Adha 2017
6,Beras Kualitas Super II,04/08/2017,10700,Idul Adha 2017
II,Daging Ayam,04/08/2017,31500,Idul Adha 2017
1,Daging Ayam Ras Segar,04/08/2017,31500,Idul Adha 2017
III,Daging Sapi,04/08/2017,120850,Idul Adha 2017
1,Daging Sapi Kualitas 1,04/08/2017,124150,Idul Adha 2017
2,Daging Sapi Kualitas 2,04/08/2017,117500,Idul Adha 2017
IV,Telur Ayam,04/08/2017,21700,Idul Adha 2017
1,Telur Ayam Ras Segar,04/08/2017,21700,Idul Adha 2017
V,Bawang Merah,04/08/2017,24100,Idul Adha 2017
1,Bawang Merah Ukuran Sedang,04/08/2017,24100,Idul Adha 2017
VI,Bawang Putih,04/08/2017,38900,Idul Adha 2017
1,Bawang Putih Ukuran Sedang,04/08/2017,38900,Idul Adha 2017
VII,Cabai Merah,04/08/2017,21600,Idul Adha 2017
1,Cabai Merah Besar,04/08/2017,21500,Idul Adha 2017
2,Cabai Merah Keriting ,04/08/2017,21650,Idul Adha 2017
VIII,Cabai Rawit,04/08/2017,31050,Idul Adha 2017
1,Cabai Rawit Hijau,04/08/2017,17750,Idul Adha 2017
2,Cabai Rawit Merah,04/08/2017,44350,Idul Adha 2017
IX,Minyak Goreng,04/08/2017,13000,Idul Adha 2017
1,Minyak Goreng Curah,04/08/2017,11150,Idul Adha 2017
2,Minyak Goreng Kemasan Bermerk 1,04/08/2017,14250,Idul Adha 2017
3,Minyak Goreng Kemasan Bermerk 2,04/08/2017,13600,Idul Adha 2017
X,Gula Pasir,04/08/2017,14500,Idul Adha 2017
1,Gula Pasir Kualitas Premium,04/08/2017,16100,Idul Adha 2017
2,Gula Pasir Lokal,04/08/2017,12900,Idul Adha 2017
I,Beras,07/08/2017,10150,Idul Adha 2017
1,Beras Kualitas Bawah I,07/08/2017,9400,Idul Adha 2017
2,Beras Kualitas Bawah II,07/08/2017,8800,Idul Adha 2017
3,Beras Kualitas Medium I,07/08/2017,10250,Idul Adha 2017
4,Beras Kualitas Medium II,07/08/2017,9900,Idul Adha 2017
5,Beras Kualitas Super I,07/08/2017,11800,Idul Adha 2017
6,Beras Kualitas Super II,07/08/2017,10700,Idul Adha 2017
II,Daging Ayam,07/08/2017,31850,Idul Adha 2017
1,Daging Ayam Ras Segar,07/08/2017,31850,Idul Adha 2017
III,Daging Sapi,07/08/2017,120850,Idul Adha 2017
1,Daging Sapi Kualitas 1,07/08/2017,124150,Idul Adha 2017
2,Daging Sapi Kualitas 2,07/08/2017,117500,Idul Adha 2017
IV,Telur Ayam,07/08/2017,21800,Idul Adha 2017
1,Telur Ayam Ras Segar,07/08/2017,21800,Idul Adha 2017
V,Bawang Merah,07/08/2017,24750,Idul Adha 2017
1,Bawang Merah Ukuran Sedang,07/08/2017,24750,Idul Adha 2017
VI,Bawang Putih,07/08/2017,40250,Idul Adha 2017
1,Bawang Putih Ukuran Sedang,07/08/2017,40250,Idul Adha 2017
VII,Cabai Merah,07/08/2017,24350,Idul Adha 2017
1,Cabai Merah Besar,07/08/2017,26100,Idul Adha 2017
2,Cabai Merah Keriting ,07/08/2017,22600,Idul Adha 2017
VIII,Cabai Rawit,07/08/2017,31550,Idul Adha 2017
1,Cabai Rawit Hijau,07/08/2017,18100,Idul Adha 2017
2,Cabai Rawit Merah,07/08/2017,45000,Idul Adha 2017
IX,Minyak Goreng,07/08/2017,13000,Idul Adha 2017
1,Minyak Goreng Curah,07/08/2017,11150,Idul Adha 2017
2,Minyak Goreng Kemasan Bermerk 1,07/08/2017,14250,Idul Adha 2017
3,Minyak Goreng Kemasan Bermerk 2,07/08/2017,13600,Idul Adha 2017
X,Gula Pasir,07/08/2017,14500,Idul Adha 2017
1,Gula Pasir Kualitas Premium,07/08/2017,16100,Idul Adha 2017
2,Gula Pasir Lokal,07/08/2017,12900,Idul Adha 2017
I,Beras,08/08/2017,10150,Idul Adha 2017
1,Beras Kualitas Bawah I,08/08/2017,9400,Idul Adha 2017
2,Beras Kualitas Bawah II,08/08/2017,8800,Idul Adha 2017
3,Beras Kualitas Medium I,08/08/2017,10300,Idul Adha 2017
4,Beras Kualitas Medium II,08/08/2017,9900,Idul Adha 2017
5,Beras Kualitas Super I,08/08/2017,11800,Idul Adha 2017
6,Beras Kualitas Super II,08/08/2017,10750,Idul Adha 2017
II,Daging Ayam,08/08/2017,32000,Idul Adha 2017
1,Daging Ayam Ras Segar,08/08/2017,32000,Idul Adha 2017
III,Daging Sapi,08/08/2017,120850,Idul Adha 2017
1,Daging Sapi Kualitas 1,08/08/2017,124150,Idul Adha 2017
2,Daging Sapi Kualitas 2,08/08/2017,117500,Idul Adha 2017
IV,Telur Ayam,08/08/2017,21650,Idul Adha 2017
1,Telur Ayam Ras Segar,08/08/2017,21650,Idul Adha 2017
V,Bawang Merah,08/08/2017,24000,Idul Adha 2017
1,Bawang Merah Ukuran Sedang,08/08/2017,24000,Idul Adha 2017
VI,Bawang Putih,08/08/2017,38400,Idul Adha 2017
1,Bawang Putih Ukuran Sedang,08/08/2017,38400,Idul Adha 2017
VII,Cabai Merah,08/08/2017,24950,Idul Adha 2017
1,Cabai Merah Besar,08/08/2017,27350,Idul Adha 2017
2,Cabai Merah Keriting ,08/08/2017,22600,Idul Adha 2017
VIII,Cabai Rawit,08/08/2017,31150,Idul Adha 2017
1,Cabai Rawit Hijau,08/08/2017,17250,Idul Adha 2017
2,Cabai Rawit Merah,08/08/2017,45100,Idul Adha 2017
IX,Minyak Goreng,08/08/2017,13000,Idul Adha 2017
1,Minyak Goreng Curah,08/08/2017,11150,Idul Adha 2017
2,Minyak Goreng Kemasan Bermerk 1,08/08/2017,14250,Idul Adha 2017
3,Minyak Goreng Kemasan Bermerk 2,08/08/2017,13600,Idul Adha 2017
X,Gula Pasir,08/08/2017,14500,Idul Adha 2017
1,Gula Pasir Kualitas Premium,08/08/2017,16100,Idul Adha 2017
2,Gula Pasir Lokal,08/08/2017,12900,Idul Adha 2017
